Name,Website,Level of operation,Country,latitude,longitude,Continent,Headquater,Start,Type (ILO),Typology,Sector (ILO definitions),Sub-category,Type of work,Size,Business model,Employment relationship,Payment,Working hours,Worker provisions,Quality assurance measures,Matching method,Disputes,Skill level (professional),Skill level (digital),Language,Contact,Founder
Dis-Chem,https://quench.mobi/,Country,South Africa,-30.559482,22.937506,Africa,"Cape Town, South Africa",2017,Location-based,Situ intermediaries,Commerce,Logistics/Courier,Food and grocery delivery,,"Workers: store owners and delivery persons
Platform: It provide delivery services.",-,-,-,-,In-app tracking,Algorithmic matching ,-,Low,Basic,English,No contact info is provided. It is sort of a delivery app with the web version on this link,-
Vhuzhi,https://www.vhuzhi.com/#/,Country,South Africa,-30.559482,22.937506,Africa,"Johannesburg, South Africa",2018,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,Delivery and e-hailing,-,"Workers: drivers
Platform: It provides monthly lift clubs, on-demand furniture removals and delivery sevices. Customers can set the fee and drivers take orders that they believe that the fee is fair.",Independent contractor,Bargain between passengers and riders,-,-,-,Algorithmic matching ,-,Medium,Basic,English,Same as above,-
Thutha,https://thutha.co.za/,Country,South Africa,-30.559482,22.937506,Africa,-,2019,Location-based,Situ marketplace,Transport,Logistics/Courier,Delivery,-,"Workers: drivers
Platform: It checks the documents of the drivers (ID, proof of address, proof of bank account and driver's license). Once a delivery order is placed, the platform will match it to several delivery men who will give a bid for customers to choose. Once the order is accepted, the platform provide updates of the delivery and facilitate payment.",Independent contractor,Bargain between workers and employers,-,-,In-app tracking,Free choice,-,Low,Basic,English,Same as above but a contact request form is provided. ,-
Snupit,https://www.snupit.co.za/,Country,South Africa,-30.559482,22.937506,Africa,"Pietermaritzburg, South Africa",2012,Location-based,Situ marketplace,Personal services,Personal service,"Builder, cleaning services, movers, website designers, architects, security, caterers, etc.",35k pros (workers),"Workers: anyone who can work
Platform: It checks ID and proof of address if someone register as a pro (service provider). It also posts job requests. It matches customers' requests with pros (workers/service providers) and customers can receive quotes and decide who to hire. The customers can also send job details to pros and ask for a quote.",Independent contractor,Bargain between workers and employers,-,-,-,Algorithmic matching ,-,Low,Basic,English,"Telephone:
010 541 0200
Email:
support@snupit.co.za","Avinash Samlall
https://www.linkedin.com/in/avinash-samlall-078385b1/"
Jrney,http://jrney.co,Country,South Africa,-30.559482,22.937506,Africa,-,2018,Location-based,Situ marketplace,Transport,E-hailing; Logistics/Courier,"Ride-sharing, e-hailing, parcel delivery",-,"Workers: drivers
Platform: It uses application designed to help people fill the spare space in your car with people or parcels. Passengers can choose drivers based on price, car type and reviews. ",Independent contractor,Bargain between workers and employers,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,Only a contact request form is provided: It is a ride-sharing app that connects passengers and drivers. ,Mark Attwood
LÜLA,https://lulaloop.co.za/,Country,South Africa,-30.559482,22.937506,Africa,"Johannesburg, South Africa",2016,Location-based,Situ intermediaries,Transport,E-hailing,Ride-sharing ,-,"Workers: drivers
Platform: It helps companies find commuting solutions. It connects people who need a ride with a driver. ",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,"Email Address:
info@lulaloop.co.za","Velani Mboweni, Tebatso Jantjies"
Pascal,https://pascal.rw/,Country,Rwanda,-1.940278,29.873888,Africa,"Kigal, Rwanda",2013,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing,-,Platform: It connets people who needs a ride with motor riders.,Independent contractor,-,-,-,In-app tracking,-,-,Medium,Basic,English,"info@pascal.rw
sales@pascal.rw",Pascal Ndizeye
Jekalo,https://www.jekalo.com/index.php#,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2015,Location-based,Asset sharing,Transport,E-hailing,Ride-sharing,-,"Wokers: People who can offer a ride
Platform: It connects people who needs a ride with people who can provide a ride. People's profile is verified by requiring login using Facebook or LinkedIn account and telephone number. The ride is vetted by the platform admin. ",-,-,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,,"Bolarinwa Motoni
https://www.linkedin.com/in/motoni/"
Alpha1rides,https://alpha1rides.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Port Harcourt, Nigeria",2016,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing,-,"Workers: Drivers
Platform: It connects riders with a driver and provides an estimated fare, road guide and facilitates payment. Drivers can register with or without a car and people can also register their cars with the platform without being a driver themselves.",Independent contractor,Set by the platform,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,No info is provided. It is a ride app with a web version here.  ,Jack-Rich Tein Jr
Glorby,https://www.glorby.com,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2017,Location-based,Situ marketplace,Personal services,Personal service,cleaning,12k clients,"Platform: Through Glorby, people and businesses can outsource tasks, find local services or hire flexible staff. Based on the user’s description of the required task, Glorby links the user to an appropriate company.",-,-,-,-,-,-,-,Low,Basic,English,Only phone number is provided: 09067803711,-
PrimalTutor,https://primaltutor.com.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2015,Both,Online marketplace with a threshold,Education,Specialised freelancing,Tutoring,-,"Workers: tutors
Platform: it provides on-demand tutoring service to users. It connect learners to tutors who are screened, trained and equipped by the platform.",-,-,-,Training,-,-,-,High,Intermediate,English,There WhatsApp contact link: https://api.whatsapp.com/send/?phone=2347019485852&text&type=phone_number&app_absent=0,
Max,https://www.max.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2015,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,"E-hailing, delivery services",-,"Workers: Drivers
Platform: It goes through a background check for people applying to be a champion (driver). It covers proper safety and driver skill development for champions centred around defensive driving, recognizing and obeying road signs, acceptable speed limits, and customer service skills required for interaction with passengers. For the electric vehicle drivers, the platform trains drivers on the 'How-Tos' of electric vehicles and other adoption techniques. It also gives healthcare coverage to the champions and their immediate family members and provides vehicle protection. People can join the platform's lease-to-own framework to collect any vehicle on lease and pay in instalments until it becomes theirs.

The platform also provide delivery services: eCommerce delivery, food delivery and Agro supply chain.",Independent contractor,Set by the platform,-,"Insurance (healthcare for drivers and their immediate family members)

Insurance (for vehicles)

Financing (lease-to-own vehicle)

",In-app tracking,Algorithmic matching ,-,Medium,Intermediate,English,"Email: success@maxdrive.ai
info@maxdrive.ai","Adetayo Bamiduro Tayo, Chinedu Azodoh"
Wesabi,http://www.wesabi.com/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2015,Location-based,Situ marketplace with a threshold,Personal services,Personal service,On-demand craftman ,-,"Workers: craftmen
Platform: It vetifies and trains craftmen to use the platform (app) on digital skills and soft skills. It connects verified, skilled and certified artisans, craft-men and professionals to people who need the service.",Independent contractor,-,-,-,-,Free choice,-,Medium,Basic,English,Email: info@wesabi.com,Sanni Murtala
Kara,https://www.kara.com.ng,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2013,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: merchants
Platform: provide merchants seller support. It also has an affiliate program: to earn money by promoting their products via websites and social media platforms.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,-
Supermart,https://www.supermart.ng/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2014,Web-based,E-commerce,Commerce; Transport,Online shopping; Logistics/Courier,Supermarket and grocery delivery,1000+ grocery stores,"Workers: grocery store owners, deliverymen
Platform: Supermart.ng is an online supermarket and grocery delivery service in Nigeria. Users can order online from over 10,000 groceries and receive same-day delivery.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,Email: service@supermart.ng,Raphael Afaedor
Kobo360,https://www.kobo360.com/about/?lang=en,Regional,Africa,-8.783195,34.508523,Africa,"Lagos, Nigeria",2018,Location-based,Situ intermediaries,Transport,Logistics/Courier,Cargo delivery,,"Workers: truck operators, manufacturers and cargo owners
Platform: It connects manufacturers and cargo owners with truck operators. It provides Payfasta, a chain fintech solution for vendor financing.",Independent contractor,-,-,"Financing: truck financing, discounts on diesel, and quality tires purchases

Insurance: trucks and goods-in-transit",-,Algorithmic matching ,-,Medium,Basic,Multi-language,Email: support@kobo360.com,Obi Ozor
DriversNG,https://www.driversng.com/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2015,Location-based,Situ marketplace with a threshold,Transport,Personal service,on-demand driver hire,"9,000 vetted registered drivers","Workers: Drivers
Platform: It is a digital recruitment solution for clients/customers to hire already verified vetted reliable trained professional drivers on demand and in real time. For drivers, there is no agency fee or commission. Registration and access to jobs and tasks are free. Charged items include identification card, certification and monthly health cover. 
It has a driversNG softskills institute which provides one-day training and full training (3 days). The training includes advanced professional service delivery in driving, defensive driving and journey management.",Independent contractor,-,-,"Training (charged service): driverNG softskills institute-providing training on advanced professional service delivery in driving, defensive driving and journey management.

Insurance (healthcare: monthly health cover)",-,-,-,Medium,Basic,English,Call/ WhatsApp 070-6248-3241 OR 081-6355-5265 (Calls Only),https://www.linkedin.com/in/imoleezekiel/
Shareride2go,https://shareride2go.com/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2019,Location-based,Asset sharing,Transport,E-hailing,car ride sharing,-,Platform: It connets car owners with vetted passengers travelling the same routh as the car owners for ride sharing.,-,-,-,-,-,-,-,Medium,Basic,English,,-
Parizzo,https://www.parizzo.com/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2018,Location-based,Asset sharing,Transport,E-hailing,car ride sharing,-,Platform: Parizzo connects private car owners (a.k.a. Ride Providers) who drive to work with extra seating space with people (Riders) that don’t want to drive and have a similar trip direction.,-,-,-,-,-,-,-,Medium,Basic,English,,-
Findworka,https://www.findworka.com/#/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2016,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,IT,510+ professionals,"Workers: tech-workers (software developers)
Platform: the platform offers talent outsourcing, software development, UX and product desgin and project management services. Employers register their needs with the platform. The platform research and form a team and get to work. Tech workers can register with the platform and join the Findworka Pro network and Saucecode community. These workers need to undergo a two-stage vetting process.
Training: it trains developers through Findworka academy. 
Network: 1) Saucecode Hackathon, a three month long series of eliminations, a real-time leader display of the top teams and a grand finale where the final five battle to become the winning team. 2) Saucecode Campus Alpha is an internship network of budding tech stars on different African campuses starting with Nigeria. They identify, train, mentor and place these talents to make them empowered graduates who are ready to take on ICT jobs. 3) The Saucecode open community of product designers, developers and tech enthusiasts who will learn, share and collaborate online.",Independent contractor,-,-,"Training: Findworka academy

Community: Findworka Pro, Saucecode hackathon; Saucecode Campus Alpha; The Saucecode open community",-,-,-,High,Advanced,English,"    Phone number: (+234) 817 161 1434

    Email: info@findworka.com",Dele Bakare
Dirlance,https://dirlance.com/,Country,Nigeria,9.081999,8.675277,Africa,"Lagos, Nigeria",2018,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Web, mobile & software; design & creative; Admin support; sales & marketing; Finance & accounting, Writing & content; Video & animation",-,"Workers: freelancers
platform: A community marketplace for professional freelance in Nigeria that connects business services to skilled freelancers. ",Independent contractor,-,-,-,-,-,-,High,Advanced,English,Only the contact request form is provided,-
Soole rides,https://soolerides.com/,Country,Nigeria,9.081999,8.675277,Africa,"Ibadan, Nigeria",2019,Location-based,Asset sharing,Transport ,E-hailing,car ride sharing,-,Platform: facilitates trip sharing or vehicle booking.,-,-,-,-,-,-,-,Medium,Intermediate,English,,"Joseph M. Palmer 
https://www.linkedin.com/in/joseph-m-palmer-07166a130/"
Senga,https://senga.co/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2016,Location-based,Situ intermediaries,Transport,Logistics/Courier,delivery & logistics,20k+ deliveries,"Workers: drivers with vehicles
Platform: 1) consolidation: it connects people whose loads do not fill a truck or people who want to save money by sharing truck space with other customers. the platform match compatible loads from customers moving to similar destinations with proprietary consolidation algorithms. 2) bulk- full truckload. It provides dedicated trucks for customers' goods. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Basic,English,Email: hi@senga.co,June Odongo
Mybigorder,https://mybigorder.com/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2018,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,Platform: people can register as a seller or an affiliate.,-,-,-,-,-,-,-,Medium,Intermediate,multi-language,,Mr. Alphonce
Skygarden,https://sky.garden/home,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2015,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,Platform: merchants can register with the platform and receive the following support: discount and campaigns for more traffic and visibility; facebook adverts using the platform's templates; get rewarded for sharing and analyse insights. It also provides financing to sellers. There is a 8% transaction fee.,-,-,-,Other: business development support,-,-,-,Medium,Intermediate,English,,Martin Majlund
Selina Wamucii,https://www.selinawamucii.com,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2015,Web-based,"E-commerce
",Commerce; Agriculture,Online shopping,e-commerce of sourcing agricultural produce,-,Platform: It connects African farmers to produce buyers.,-,-,-,-,-,-,-,Low,Basic,English,,John Oroko & Gaita Wamucii
Mfarm,https://mfarm.co.ke,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2011,Web-based,"E-commerce
",Commerce; Agriculture,Online shopping,e-commerce of sourcing agricultural produce,-,"Platform: Via Mfarm, users can connect with buyers and farmers around them to sell their produce.",-,-,-,-,-,-,-,Low,Basic,English,,Linda Kwamboka
Yum,https://yum.co.ke/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2012,Location-based,Situ intermediaries,Transport,Logistics/Courier,delivery of food,250+ restaurants,"Workers: Yum riders, restaurants owners
Platform:  it provides online delivery service for ordering from Nairobi’s best restaurants and grocery stores",Independent contractor,Set by the platform,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,Phone number: 0708999555,"Jake Goldberg and Michael Hudson
https://www.linkedin.com/in/jakegoldbergcalhoun/"
PTG Travel,https://www.ptgtravels.com,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2016,Location-based,Situ intermediaries,Transport,E-hailing,driving service,-,"Platform: It provides point-to-point transfer, airport transfer, transfer sharing, event transfer, delivery and chauffer driver. Drivers are regarded as partners and their own boss. They have a good clientele base, who assure drivers frequent jobs.",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,Email: support@ptgtravels.com,Justus Kirigua
An Nisa,http://annisataxi.com/,Country,Kenya,-0.023559,37.906193,Africa,"Nairobi, Kenya",2018,Location-based,Situ intermediaries,Transport,E-hailing,driving service,-,"Workers: female drivers
Platform: An Nisa is a female-driven business dedicated to women either drivers or passengers, empowering them with opportunities to work and travel in a safe environment. Their solution accommodates the demands of women by offering safe, reliable, and trustworthy mode of transportation. Drivers needs to be checked on their required documents, vehicle requirements and personal requirements",Independent contractor,-,-,-,In-app tracking,Algorithmic matching ,-,Medium,Basic,English,"Support Number:
0202448144

Email:
info@annisataxi.com","Mehnaz Sarwar
https://www.linkedin.com/in/mehnaz-sarwar-22bb16177/"
Pink Taxi,http://pinktaxi.net/,Country,Egypt,26.820553,30.802498,Africa,"Cairo, Egypt",2015,Location-based,Situ intermediaries,Transport,E-hailing,driving service,-,"Workers: female drivers
Platform: Pink Taxi aims to provide a safe environment for girls to become drivers as a job.",Independent contractor,-,-,-,-,-,-,Medium,Basic,English,"PHONE NUMBER:
002 02 22665165
002 02 22695555",https://www.linkedin.com/in/reem-fawzy-1276b990/
ElMenus,https://www.elmenus.com/,Country,Egypt,26.820553,30.802498,Africa,"Cairo, Egypt",2011,Location-based,Situ intermediaries,Transport,Logistics/Courier,delivery of food,-,"Workers: delivery persons
Platform: An online platform with a comprehensive restaurant directory that includes menus, photos, reviews, dish ratings",-,-,-,-,-,Algorithmic matching ,-,Low,Basic,"English, Arabic",No info provided ,
FreelanceMe,http://freelanceme.net/,Country,Egypt,26.820553,30.802498,Africa,"Cairo, Egypt",2002,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"IT & Software, marketing and communication, multimedia and design, etc.",-,"Wokers: freelancers
Platform: FreelanceME.net offers this online platform, in which freelancers and employers can be matched and connected according to the skills of the first and the demands of the latter. The usage of this platform is entirely free of charge. A rating system in which both sides can rate and write references about each other’s impressions after their service relationship is concluded, provides for the safeguarding of high standards of quality on both the freelancers’ and the employers’ side.
FreelanceME.net is a platform relevant for any young person in Egypt looking for employment or a side job next to their studies and willing to gain valuable professional experience, as well any business with specific short- to mid-term service needs requiring qualified and engaged young people.",Independent contractor,-,-,-,-,Free choice,-,Medium,Intermediate,"English, Arabic",No info is provided but there is a contact request form,-
Flipkart,https://www.flipkart.com/,Country,India,20.593684,78.96288,Asia,"Bengaluru, India",2007,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,Largest in India,"Workers: sellers.
Platform: it is an e-commerce platform.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,
Snapdeal,https://www.snapdeal.com/,Country,India,20.593684,78.96288,Asia,"New Delhi, India",2010,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,"Millions of users and
5,00,000+ registered sellers across India","Workers: sellers
Platform: Sellers sell products with Snapdeal packaging.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,
GigIndia,https://www.gigindia.in/,Country,India,20.593684,78.96288,Asia,"Pune, Maharashtra, India",2016,Web-based,Online contracting intermediaries,Professional services,Specialised freelancing,Marketing,1 million+ workers,"Workers: freelancer
Platform: Three services- merchant onboarding to scale sales; offline marketing; telecalling solutions.
For Clients: 1) Submit requirements, GigIndia will divide client's objective into quantum of gigs and map workflow; 2) Curate profiles to deploy giggers in < 24 hours with smart recruitment modules; 3) Track productivity with AI led monitoring & ML driven QA checks. 4) pay when results received.  
For giggers: 1) Register as an individual worker: register->complete training and certification (workers are evaluated through a comprehensive recruitment process and then are provided the training needed to ensure efficient task performance-> being assigned the gig (receive continuous industry recoganised training and certification) -> get paid once tasks are completed successfully. 2) register as a team leader: register ->recieve one-time expert guidance -> build or get a team assigned -> get tasks completed.",Independent contractor,-,-,"Training (voice modulation, communication pitch, and customer behavior as per industry standard; Coaching by industry & domain experts)",Real time progress tracker,Algorithmic matching ,-,Medium,Intermediate,English,,
zhubajie,https://www.zbj.com/,Country,China,35.86166,104.195397,Asia,"Chongqing, China",2006,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Freelance marketplace,7 million+ service providers,"Workers: freelancer
Platform: Connecting service providers (individuals/companies) to employers.
For employers, they can: 1)post their needs and wait for biding: 2) purchase services from certain provider: 3) hire part-time worker; 4) hire full-time worker.
For service providers, they can: 1) biding for outsourcing work; 2) Become sellers (sell services); 3) take part-time job; 4) take full-time job.
ZBJ's own services: intellectual property protection, tax service, workplace rental, etc.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Chinese,,
shixian,shixian.com,Country,China,35.86166,104.195397,Asia,"Beijing, China",2014,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,"Web design, software design, etc.","20,000 tech engineers","Workers: freelancer
Platform: Short-term tech job matching.",Independent contractor,-,-,-,-,-,-,High,Advanced,Chinese,,
Winvk,vikecn.com,Country,China,35.86166,104.195397,Asia,"Chengdong, China",2005,Web-based,Online marketplace,Professional services,Specialised freelancing,"Desgin, web development, copy writing, translation",6 million+ freelancers ,"Workers: freelancer
Platform: freelancing marketplace: Winvk takes a service fee for each task completed.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Chinese,,
Epwk,epwk.com,Country,China,35.86166,104.195397,Asia,"Xiamen, China",2010,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"Desgin, web development, copy writing, life services such as turing, child caring, etc.",millions of users,"Workers: freelancer
Platform: 1) Matching demand and service providers (individual freelancers/companies); 2) Short-term hiring: for one month/ three months/ longer; 3) Own services: tax, workplace rental, startup inccubator, etc.
No charge of service fee for each task, but freelancers and employers can purchase different levels of VIP services. ",Independent contracer,-,-,-,-,Algorithmic matching ,-,High,Intermediate,Chinese,,
Taskcity,taskcity.com,Country,China,35.86166,104.195397,Asia,"Beijing, China",2010,Web-based,Online marketplace,Professional services,Specialised freelancing,Software development outsoucing,-,"Workers: freelancer
Platform: matching employers with service providers (freelancers & companies)",Independent contractor,-,-,-,-,Algorithmic matching ,-,High,Intermediate,Chinese,,
Taskzb,taskzb.com,Country,China,35.86166,104.195397,Asia,-,2011,Web-based,Online marketplace,Professional services,Specialised freelancing,Writing,-,"Workers: writers
Platform: Freelance writing tasks marketplace",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Chinese,,
Didi,https://www.didiglobal.com/,Regional,17+ countries,-,-,Asia,"Beijing, China",2012,Location-based,Situ intermediaries,Transport,E-hailing,"ride hailing, taxi hailing, chauffeur, hitch and other forms of shared mobility as well as auto solutions, food delivery, intra-city freight and financial services.",tens of millions of drivers,"Workers: drivers
Platform: mobility services",Independent contractor,Set by the platform,-,-,Tracking,Algorithmic matching ,-,Medium,Basic,Chinese/English,,
AutoNavi,http://www.autonavi.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2020,Location-based,Situ intermediaries,Transport,E-hailing,"ride hailling, shared mobility (taxi/private car)",-,"Workers: drivers
Platform: mobility services",Independent contractor,Set by the platform,-,-,Tracking,Algorithmic matching ,-,Medium,Basic,Chinese,,
Caocao,https://www.caocaokeji.cn/recruit,Country,China,35.86166,104.195397,Asia,"Hangzhou, China",2015,Location-based,Situ intermediaries,Transport,E-hailing,Taxi and shared mobility,-,"Workers: drivers
Platform: mobility services: online car-hailing; private car with a driver; hitch ride",Independent contractor,Set by the platform,-,-,Tracking,Algorithmic matching ,-,Medium,Basic,Chinese,,
ele.me,https://www.ele.me/,Country,China,35.86166,104.195397,Asia,"Shanghai, China",2009,Location-based,Situ intermediaries,Transport,Logistics/Courier,online-to-offline Food delivery,"2000+ cities in China, 3 million drivers","Workers: delivery persons, restaurants owners
Platform: It offers food ordering and delivery servies.",Independent contractor,Set by the platform,-,Insurance (for accident),Tracking,Algorithmic matching ,-,Low,Basic,Chinese,,
Meituan,http://i.meituan.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2010,Location-based,Situ intermediaries,Transport,Logistics/Courier,"Food delivery, shared mobility, restaurants booking, train tickets booking,etc.",2800+ cities in China,"Workers: delivery persons, restaurants owners
Platform: It offers food ordering and delivery servies.",Independent contractor,Set by the platform,-,Insurance (for accident),Tracking,Algorithmic matching ,-,Low,Basic,Chinese,,
Taobao,https://world.taobao.com/,Country,China,35.86166,104.195397,Asia,"Hangzhou, China",2003,Web-based,"E-commerce
",Commerce,Online shopping,consumer-to-consumer retail,500 million users,"Workers: sellers
Platform: e-commerce platform, taking fees from sellers",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,Chinese,,
Douyin (tiktok),https://www.douyin.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2016,Web-based,Social media (for income generation),Commerce,Online shopping,User generated content; e-commerce,680 million users,"Workers: content creators
Platform: 1) Host user-submitted videos with durations from 15 seconds to ten minutes. 2) e-commerce: douyin shop and livestreaming shopping (live streaming Ecommerce) 3) content creators can receive money from the platform if their videos are regarded as high-quality ones; 4) creators can take videos for products and get commission fees.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,Chinese,,
Xiaozhu,https://m.xiaozhu.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2012,Location-based,Asset sharing,"Hotel, catering, tourism",Rental,short-term room rental,"800,000+ rooms","Workers: people with home for short-term rent
Platform: short-term home rent.",-,-,-,-,-,-,-,Low,Basic,Chinese,,
Daojia,https://www.daojia.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2015,Location-based,Situ marketplace with a threshold,Personal services,Personal service,"Nannies, cleaning, etc.",16 million+ users,"Workers: home service provicers. 
Platform: Daojia provides training to service providers (not their employees) and  match the trained workers with employers. Daojia takes a service fee.",Independent contractor,Set by the platform,-,"Training (newborn baby care, etc.)",-,Hand matching,-,Low,Basic,Chinese,,
Demae-can,https://demae-can.com/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",1999,Location-based,Situ intermediaries,Transport,Logistics/Courier,food deliveries,"60,000 delivery service stores","Workers: merchants, delivery persons
Platform: it provides food ordering and delivery services.",Independent contractor,Set by the platform,-,-,-,Algorithmic matching ,-,Medium,Basic,Japanese,,
CrowdWorks,https://crowdworks.jp/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",2011,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Crowdsourcing (writing, design, etc.)",4430000 freelancer,"Workers: freelancer
Platform: CrowdWorks charges 5-20% of the fee for using the system for order takers, depending on the compensation amount.
Clients are free to use the service, but there are also paid options.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Japanese,,
Lancers,https://www.lancers.jp/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",2008,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Website creation, sales, marketing, etc.",Largest in Japan,"Workers: freelancer
Platform: 1. Lancers: connect freelancing professionals with employers; 2. lancers agent: IT freelancers such as engineers, designers and marketers working for a short-term task-based project for companies; 3. lancers digital academy: digital skill education for those who want a side IT job; 4. Menta: online mentor service.
Taking a service fee for each transaction.",Independent contractor,-,-,"Training (Lancer digital academy, mentor service)",-,Free choice,-,High,Advanced,Japanese,,
coconala,https://coconala.co.jp/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",2012,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Professional services,-,"Platform: Coconala is the platform where freelancers can package their works and display. Buy and sell various services, from “production categories” such as design, website creation, video and music creation and writing, to “business support categories” such as business marketing, as well as “consultation categories” such as career counseling and fashion advices. 1. coconala business: find professionals for wide range of business use. For services purchase. 2. cocnala legal consultation: a search media to find a lawyer. 3.  coconala agentL connects IT freelancers with outsourcing projects of companies. Agents interview freelancers to gain a thorough understanding of their professional skills and propose projects that match their requirements. they accompany their clients from project matching and start-up to the end of the project.",Independent contractor,-,-,-,Work is followed by platform agents,Hand matching,-,High,Intermediate,Japanese & English,,
Kmong,kmong.com,Country,South Korea,35.907757,127.766922,Asia,Korea,2012,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"online talent marketplace: designers, artists, marketers, etc.","250,000+ freelancers and clients","Workers: freelancers
Platform: catering to immediate needs for short-term projects or specific tasks",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Korean,,
Soomgo,https://soomgo.com/,Country,South Korea,35.907757,127.766922,Asia,"Seoul, Korea",2014,Both,Online marketplace,Professional services,Multi-sectoral freelancing,"Professional services, car matainance, wedding planning, interior design, tutoring for academic and interest, home  services such as cleaning","25,000+ freelancers / small business","Workers: freelancer
Platform: Connecting local service providers with customers. It charges professionals to send quotes to customers via a virtual credits system that costs real money",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Korean,,
Talent Bank,https://www.talentbank.co.kr/,Country,South Korea,35.907757,127.766922,Asia,"Seoul, Korea",2017,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"Consulting: management strategy, sales, personnel, finane & investment, marketing, engineering, IT, Design & fashion",-,"Workers: freelancer
Platform: It offers company-expert matching services. It matches experts with small businesses that do not have the budget to hire an expert full-time. To be a Talent Bank-certified expert, freelancers have to go through a strict screening process. The screening process includes checking for work experience such as having multiple years of managerial experience.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,Korean,,
